"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","3345","2.75","3345","9198.75","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","1000","2.75","1000","2750","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","4839","2.75","4839","13307.25","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","1500","2.75","1500","4125","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","4029","1","4029","4029","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1344","1","1344","1344","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","6930","1","6930","6930","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","4121","1","4121","4121","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1255","1","1255","1255","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","3769","1","3769","3769","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","15029","1","15029","15029","BVG"
"","2/7/2019","BANCO GUAYAQUIL S.A.","ACCIONES","5606","1","5606","5606","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","9429","2.75","9429","25929.75","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","2139","2.75","2139","5882.25","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","2000","2.75","2000","5500","BVG"
"","","","","","","","",""
"","2/7/2019","BANCO PICHINCHA C.A.","ACCIONES","1000","99","10","990","BVG"
"","2/7/2019","CERVECERIA NACIONAL CN S A","ACCIONES","56","92","56","5152","BVG"
"","2/7/2019","CORPORACION FAVORITA C.A.","ACCIONES","1850","2.77","1850","5124.5","BVG"
"","2/7/2019","BANCO PICHINCHA C.A.","ACCIONES","21000","97","210","20370","BVG"
"","2/7/2019","BANCO PICHINCHA C.A.","ACCIONES","21000","97","210","20370","BVG"
"","2/7/2019","BANCO PICHINCHA C.A.","ACCIONES","21000","97","210","20370","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","2/8/2019","CORPORACION FAVORITA C.A.","ACCIONES","1000","2.78","1000","2780","BVG"
"","","","","","","","",""
"","2/8/2019","CORPORACION FAVORITA C.A.","ACCIONES","1830","2.78","1830","5087.4","BVG"
"","2/8/2019","CORPORACION FAVORITA C.A.","ACCIONES","3596","2.78","3596","9996.88","BVG"
"","2/11/2019","CORPORACION FAVORITA C.A.","ACCIONES","600","2.78","600","1668","BVG"
"","","","","","","","",""
"","2/11/2019","CORPORACION FAVORITA C.A.","ACCIONES","4000","2.8","4000","11200","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","2/11/2019","CORPORACION FAVORITA C.A.","ACCIONES","11468","2.8","11468","32110.4","BVG"
"","2/11/2019","CORPORACION FAVORITA C.A.","ACCIONES","10800","2.8","10800","30240","BVG"
"","2/11/2019","BANCO GUAYAQUIL S.A.","ACCIONES","307","0.99","307","303.93","BVG"
"","2/11/2019","BANCO GUAYAQUIL S.A.","ACCIONES","215","0.96","215","206.4","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","6000","1","6000","6000","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","1488","0.97","1488","1443.36","BVG"
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","2/12/2019","CORPORACION FAVORITA C.A.","ACCIONES","89","2.81","89","250.09","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","3000","1","3000","3000","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","18725","1","18725","18725","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","12383","1","12383","12383","BVG"
"","2/12/2019","BANCO GUAYAQUIL S.A.","ACCIONES","19312","1","19312","19312","BVG"
"","2/13/2019","BANCO GUAYAQUIL S.A.","ACCIONES","35000","0.97","35000","33950","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","727","2.8","727","2035.6","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","450","2.8","450","1260","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","2109","2.78","2109","5863.02","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","2109","2.78","2109","5863.02","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","2109","2.78","2109","5863.02","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","2109","2.78","2109","5863.02","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","1074","2.8","1074","3007.2","BVG"
"","2/13/2019","CORPORACION FAVORITA C.A.","ACCIONES","274","2.8","274","767.2","BVG"
"","2/13/2019","BANCO DE LA PRODUCCION S.A . PRODUBANCO","ACCIONES","3455","0.7","3455","2418.5","BVG"
"","2/13/2019","BANCO DE LA PRODUCCION S.A . PRODUBANCO","ACCIONES","3000","0.7","3000","2100","BVG"
"","2/13/2019","BANCO DE LA PRODUCCION S.A . PRODUBANCO","ACCIONES","15000","0.7","15000","10500","BVG"
"","2/14/2019","BANCO PICHINCHA C.A.","ACCIONES","900","100","9","900","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","274","2.8","274","767.2","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","3523","2.8","3523","9864.4","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","12","2.8","12","33.6","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","95","2.81","95","266.95","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","3405","2.8","3405","9534","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","260","2.8","260","728","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","308","2.8","308","862.4","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","1122","2.8","1122","3141.6","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","1878","2.8","1878","5258.4","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","2781","2.8","2781","7786.8","BVG"
"","2/15/2019","CORPORACION FAVORITA C.A.","ACCIONES","3903","2.8","3903","10928.4","BVG"
