FECHA,EMISOR,VALOR,VALOR NOMINAL,PRECIO,ACCIONES,VALOR EFECTIVO,PROCEDENCIA
2019-10-02,CORPORACION FAVORITA C.A.,ACCIONES,165.0,2.47,165.0,407.55,BVG
2019-10-03,BANCO PICHINCHA C.A.,ACCIONES,3500.0,94.0,35.0,3290.0,BVG
2019-10-03,CORPORACION FAVORITA C.A.,ACCIONES,600.0,2.48,600.0,1488.0,BVG
2019-10-04,BANCO PICHINCHA C.A.,ACCIONES,3100.0,93.0,31.0,2883.0,BVG
2019-10-04,CORPORACION FAVORITA C.A.,ACCIONES,9847.0,2.48,9847.0,24420.56,BVG
2019-10-07,BANCO GUAYAQUIL S.A.,ACCIONES,550.0,0.85,550.0,467.5,BVG
2019-10-08,CORPORACION FAVORITA C.A.,ACCIONES,800.0,2.46,800.0,1968.0,BVG
2019-10-08,CERVECERIA NACIONAL CN S A,ACCIONES,50.0,83.0,50.0,4150.0,BVG
2019-10-09,CORPORACION FAVORITA C.A.,ACCIONES,448.0,2.48,448.0,1111.04,BVG
2019-10-09,BANCO GUAYAQUIL S.A.,ACCIONES,6450.0,0.86,6450.0,5547.0,BVG
2019-10-09,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,10000.0,0.8,10000.0,8000.0,BVG
2019-10-09,CONTINENTAL TIRE ANDINA S A,ACCIONES,2625.0,1.0,2625.0,2625.0,BVG
2019-10-10,BANCO GUAYAQUIL S.A.,ACCIONES,4500.0,0.86,4500.0,3870.0,BVG
2019-10-10,CORPORACION FAVORITA C.A.,ACCIONES,63.0,2.48,63.0,156.24,BVG
2019-10-14,CORPORACION FAVORITA C.A.,ACCIONES,6748.0,2.48,6748.0,16735.04,BVG
2019-10-14,BANCO GUAYAQUIL S.A.,ACCIONES,20000.0,0.86,20000.0,17200.0,BVG
2019-10-15,BANCO GUAYAQUIL S.A.,ACCIONES,1131.0,0.86,1131.0,972.66,BVG
2019-10-15,CORPORACION FAVORITA C.A.,ACCIONES,1500.0,2.48,1500.0,3720.0,BVG
2019-10-16,CORPORACION FAVORITA C.A.,ACCIONES,3783.0,2.48,3783.0,9381.84,BVG
2019-10-16,CONCLINA C A  CIA CONJU CLINICO NACIONAL,ACCIONES,4515.0,1.0,4515.0,4515.0,BVG
2019-10-16,BANCO GUAYAQUIL S.A.,ACCIONES,1117.0,0.86,1117.0,960.62,BVG
2019-10-17,CORPORACION FAVORITA C.A.,ACCIONES,143.0,2.47,143.0,353.21,BVG
2019-10-18,BANCO GUAYAQUIL S.A.,ACCIONES,164806.0,0.85,164806.0,140085.1,BVG
2019-10-18,CORPORACION FAVORITA C.A.,ACCIONES,25000.0,2.48,25000.0,62000.0,BVG
2019-10-21,SAN CARLOS SOC. AGR. IND.,ACCIONES,5000.0,0.65,5000.0,3250.0,BVG
2019-10-21,CERVECERIA NACIONAL CN S A,ACCIONES,84.0,92.0,84.0,7728.0,BVG
2019-10-21,BANCO GUAYAQUIL S.A.,ACCIONES,570.0,0.85,570.0,484.5,BVG
2019-10-21,CORPORACION FAVORITA C.A.,ACCIONES,197.0,2.47,197.0,486.59,BVG
2019-10-22,BANCO BOLIVARIANO C.A.,ACCIONES,581.0,1.0,581.0,581.0,BVG
2019-10-22,BANCO GUAYAQUIL S.A.,ACCIONES,581.0,0.85,581.0,493.85,BVG
2019-10-22,BANCO PICHINCHA C.A.,ACCIONES,1900.0,93.0,19.0,1767.0,BVG
2019-10-22,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,30000.0,0.8,30000.0,24000.0,BVG
2019-10-22,CORPORACION FAVORITA C.A.,ACCIONES,831.0,2.46,831.0,2044.26,BVG
2019-10-23,BANCO PICHINCHA C.A.,ACCIONES,400.0,93.0,4.0,372.0,BVG
2019-10-23,CORPORACION FAVORITA C.A.,ACCIONES,540.0,2.46,540.0,1328.4,BVG
2019-10-23,BANCO GUAYAQUIL S.A.,ACCIONES,25661.0,0.85,25661.0,21811.85,BVG
2019-10-24,BANCO GUAYAQUIL S.A.,ACCIONES,33103.0,0.85,33103.0,28137.55,BVG
2019-10-24,CERVECERIA NACIONAL CN S A,ACCIONES,50.0,85.0,50.0,4250.0,BVG
2019-10-24,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,5000.0,0.77,5000.0,3850.0,BVG
2019-10-24,CORPORACION FAVORITA C.A.,ACCIONES,1000.0,2.46,1000.0,2460.0,BVG
2019-10-25,BANCO GUAYAQUIL S.A.,ACCIONES,482.0,0.85,482.0,409.7,BVG
2019-10-25,CORPORACION FAVORITA C.A.,ACCIONES,2345.0,2.47,2345.0,5792.15,BVG
2019-10-28,BANCO DE LA PRODUCCION S.A . PRODUBANCO,ACCIONES,30000.0,0.8,30000.0,24000.0,BVG
2019-10-28,BANCO GUAYAQUIL S.A.,ACCIONES,1244.0,0.85,1244.0,1057.4,BVG
2019-10-28,CORPORACION FAVORITA C.A.,ACCIONES,450.0,2.46,450.0,1107.0,BVG
2019-10-28,BANCO BOLIVARIANO C.A.,ACCIONES,40000.0,1.0,40000.0,40000.0,BVG
2019-10-29,CORPORACION FAVORITA C.A.,ACCIONES,2000.0,2.46,2000.0,4920.0,BVG
2019-10-29,CERVECERIA NACIONAL CN S A,ACCIONES,12.0,85.0,12.0,1020.0,BVG
2019-10-30,BOLSA DE VALORES DE GUAYAQUIL,ACCIONES,50000.0,1.12,50000.0,56000.0,BVG
2019-10-30,CORPORACION FAVORITA C.A.,ACCIONES,450.0,2.45,450.0,1102.5,BVG
2019-10-30,HOLCIM ECUADOR S.A.,ACCIONES,120.0,58.0,40.0,2320.0,BVG
2019-10-30,BOLSA DE VALORES DE QUITO,ACCIONES,40000.0,1.11,40000.0,44400.0,BVG
2019-10-31,BANCO GUAYAQUIL S.A.,ACCIONES,2000.0,0.9,2000.0,1800.0,BVG
2019-10-31,CORPORACION FAVORITA C.A.,ACCIONES,2000.0,2.45,2000.0,4900.0,BVG
2019-11-05,BANCO GUAYAQUIL S.A.,ACCIONES,1110.0,0.86,1110.0,954.6,BVG
2019-11-05,CORPORACION FAVORITA C.A.,ACCIONES,720.0,2.45,720.0,1764.0,BVG
2019-11-06,BANCO GUAYAQUIL S.A.,ACCIONES,1204.0,0.86,1204.0,1035.44,BVG
2019-11-06,BOLSA DE VALORES DE QUITO,ACCIONES,2216.0,1.1,2216.0,2437.6,BVG
2019-11-06,INVERSANCARLOS,ACCIONES,46000.0,1.1,46000.0,50600.0,BVG
2019-11-06,CORPORACION FAVORITA C.A.,ACCIONES,1024.0,2.45,1024.0,2508.8,BVG
2019-11-07,BANCO GUAYAQUIL S.A.,ACCIONES,589.0,0.86,589.0,506.54,BVG
